"Kinase.Gene","mS","Enrichment","m","z.score","p.value","FDR","Line","Drug","lgpadj"
"CDK2",-0.175783762454221,-7.25078969917593,64,-2.07032021464947,0.0192111839020429,0.0885384997224588,"HCT116","TSA",1.05286784137883
"DYRK1A",-0.701897850357908,-13.8916130648661,3,-2.06758097897531,0.0193397211096572,0.208233632172917,"PSC1","CUDC101",0.681449125509887
"MAP3K2",-1.37494793327448,-23.0784048438996,1,-2.04552142647372,0.0204017395079301,0.137731428423587,"A549","Belinostat",0.860966948388384
"MAPK11",-0.938045704552658,-25.6303865941378,2,-2.04514177974347,0.0204204411618652,0.128971207338096,"H292","TSA",0.889507234583594
"EIF2AK2",-1.3728661612321,-23.0434624458464,1,-2.04255298133072,0.020548354809745,0.137731428423587,"A549","Belinostat",0.860966948388384
"MTOR",-1.17945665587415,-6.83237234410574,5,-2.03045807846983,0.021154999129753,0.377116160830779,"PC9","Panobinostat",0.423524856060987
"PAK4",-0.940443876823214,-15.7852846620919,2,-2.0166012380877,0.0218685718601865,0.137731428423587,"A549","Belinostat",0.860966948388384
"CDK3",-1.41466002601781,-63.2846054951828,1,-2.01394408950679,0.0220077019338641,0.171896676259746,"A549","Vorinostat",0.764732520613744
"MAPK8",-0.296384451171328,-2.58487629023073,8,-2.01323790255351,0.022044803797065,0.12177129716474,"PSC1","Abexinostat",0.914455067630719
"HIPK2",-0.396917861838437,-12.7702668731277,5,-1.98994349388142,0.0232985802201896,0.193045378967285,"PSC1","Vorinostat",0.714340589859816
"CDK3",-1.43083660427449,-23.872862284611,1,-1.98512052241146,0.0235655320125578,0.114879594201257,"A549","Panobinostat",0.939757107193577
"CDK4",-0.713865097697696,-23.6620919297473,3,-1.97320218791985,0.0242362656561557,0.151476660350973,"A549","CUDC101",0.819654278459664
"CDK3",-1.31555697891376,-22.0815318310153,1,-1.96083454125239,0.0249491636409536,0.146759786123257,"A549","Belinostat",0.833392929823947
